manufacturer,device,param_id,name,categories,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone II,48819876,T6 SYN Main Octave,syn/swarmer,44,,0,2,1,77,0,2,0-based,,0: -2; 1: -1; 2: 0
Elektron,Digitone II,48819875,T5 SYN Main Octave,syn/swarmer,44,,0,2,1,77,0,2,0-based,,0: -2; 1: -1; 2: 0
Elektron,Digitone II,48819874,T4 SYN Main Octave,syn/swarmer,44,,0,2,1,77,0,2,0-based,,0: -2; 1: -1; 2: 0
Elektron,Digitone II,48819873,T3 SYN Main Octave,syn/swarmer,44,,0,2,1,77,0,2,0-based,,0: -2; 1: -1; 2: 0
Elektron,Digitone II,48819872,T2 SYN Main Octave,syn/swarmer,44,,0,2,1,77,0,2,0-based,,0: -2; 1: -1; 2: 0
Elektron,Digitone II,48819871,T1 SYN Main Octave,syn/swarmer,44,,0,2,1,77,0,2,0-based,,0: -2; 1: -1; 2: 0
Elektron,Digitone II,1513386294,T16 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,1513386293,T15 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,1513386292,T14 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,1513386291,T13 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,1513386290,T12 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,1513386289,T11 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818919,T10 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818918,T9 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818917,T8 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818916,T7 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818915,T6 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818914,T5 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
Elektron,Digitone II,48818913,T4 SYN Main Waveform,syn/swarmer,45,,0,120,1,78,0,120,0-based,,
